,diasourceid,ssobjectid,mag,filter,heliocentricdist,topocentricdist,eclipticbeta
2900,-4568014894729151064,-8617438304592229267,19.747545,i,1.9759411182349316,1.4010813796041994,6.73521038951835
2901,-3146405414541566800,-8617438304592229267,19.771797,z,1.9759193210015364,1.4012209528012138,6.733225819852071
2902,8073156116704523860,-4553247238642461234,22.554556,i,1.954543153028645,1.3153294922932581,10.198246900626481
2903,2097891934403137476,5431731335300051722,19.669708,i,1.9834774133739324,1.8106549126352787,5.69348022596926
2904,4866733548340189267,5431731335300051722,19.703348,z,1.9834719476340845,1.8108219645110453,5.69331871756182
2905,-7192684607923190716,6108219995080017958,21.114391,y,1.9209361072478361,0.9340904636758054,2.644698400708908
2906,8701132766297096250,6108219995080017958,21.206055,y,1.9208895700024968,0.9340779215199864,2.642841107883379
2907,-3166222385770091568,-6326942489910150921,20.234455,y,1.9533164369544207,2.04319500558916,4.717573539121128
2908,-3826957251041640845,-6040595420216311607,18.953508,i,1.9073424419990632,1.3533545292702522,10.5095219322838
2909,-633705113055613504,-6040595420216311607,18.952635,z,1.907373132017957,1.3535314917523436,10.508453949425284
2910,3899579033766415554,4308298433080666098,17.46373,y,1.9769070810252076,0.9793383383236077,5.788115218247379
2911,-5912495732145031277,4308298433080666098,17.45973,y,1.976914067053063,0.9793531425269156,5.788697119263444
2912,5179694869898869958,1877256245344301086,20.662914,i,1.9159644984493083,1.134034481174191,-37.848926999896015
2913,2822211324071552087,1877256245344301086,20.712494,z,1.915940847629727,1.1339154311341322,-37.85060211286489
2914,4708848610630021582,4956758625515471171,18.218878,y,1.9860627800404747,1.064684640123421,-5.389053523341766
2915,7293822471004730854,-3337218772919805225,19.935251,y,1.9498743972038373,0.9626792728006534,7.803894431135964
2916,-4391969084845919611,-3337218772919805225,19.970575,y,1.9498820085051778,0.9627148869991897,7.805138689727456
2917,-6877297994025597625,-3337218772919805225,19.945524,y,1.9498895815952233,0.962750651754101,7.806386765210145
2918,6193541120818695432,-3337218772919805225,19.952423,y,1.949897143637841,0.9627866789666991,7.807632924197646
2919,-2146498635734765676,1651496059622743128,20.031456,z,1.8990369281053914,1.01997096934148,7.512385433574838
2920,4116355525950533993,8881820783948308839,20.07515,z,1.9292121748015136,1.490739645842553,5.6447427368840914
2921,-4399341151739231139,-2462258301779900676,22.475111,i,1.9811210024175727,1.5945185867450402,3.759082307709814
2922,-5825966741909314838,3666068941722258640,20.661158,y,1.994376476561224,1.615327563522205,26.210987725874812
2923,9209819491760722474,3098277808655371404,18.845213,z,1.8492936068484311,0.9332746225805565,0.9795639179405289
2924,1916561817802420045,-136522558117190160,22.37777,z,1.9366367197056964,0.9952199829647898,-2.670257100525977
2925,-1506323471401682288,-344586619882515852,19.260693,r,1.93683470492154,1.3607593668662226,-30.161668310419152
2926,-1408706891761929239,-7181918102544907725,17.081003,y,1.9247327518140098,0.927486191118475,5.906608677083941
2927,50186945961515596,-7181918102544907725,17.07408,y,1.9247360588803566,0.9274973751585842,5.907311583928123
2928,-3317260976068526344,-8595620067318466575,22.562782,z,1.8884832330180474,1.0272719233117695,-14.288430870880436
2929,-3504094399285458904,7247572871539586170,17.046576,y,1.8789146453929981,0.8877419896863569,9.737770122988325
2930,-7512229763800408676,741228960308361526,20.483023,z,1.7674096093077638,0.8303654184105934,-8.170880188958078
