,diasourceid,ssobjectid,midpointtai,mag,filter,topocentricx,topocentricy
14162,-896775275096757089,4398425480473646303,60042.08842893659,10.796635,z,-0.9404036434875144,0.7291825812662296
4768,-7536637374708965261,-8993535161149860984,60042.276496879866,20.812557,y,-1.449063943354222,-0.03822440068320815
175868,-7214440698540337951,4873971406108483118,60042.10209039483,22.119326,z,-1.517041634428247,0.4431270084226667
188717,46781378033155355,-511492339383625288,60042.24996314224,21.13378,y,-1.5136669615981706,-0.0954510078009573
60110,-3225308138620603002,4886075618303068780,60042.13815864183,19.442152,i,-1.8839493598267476,0.37752901225841945
77727,9065835954720457931,1496982789732572927,60042.25398818305,19.136225,y,-1.2900339495948807,-0.19329227627485052
44190,4457181310540348248,3305923677576623023,60042.21235299012,21.100992,y,-1.8300307956369755,-0.25023255668385125
202792,-2607409714238450916,1459571646451419009,60042.00902693083,22.830156,i,-1.3035662038639317,1.0931277281574208
5984,891366360700370873,-8608767499881628499,60042.216072241965,21.583618,y,-1.7432617754967639,-0.15140873719927805
110120,7052739650628972008,-698930987303074509,60042.276050472996,21.439758,y,-1.3606974646039278,-0.07853470368273292
24477,4524029747565299352,-1352131964578214366,60042.158630164224,22.606865,z,-1.54660141984916,0.642875527593101
5493,-8970057872875656377,-5728248760773297015,60042.16132189579,21.017685,z,-1.8478761561646322,0.5483458668101494
70074,1317308235365529047,-5773669447137711612,60042.23014311146,20.010618,y,-1.7176782561168324,-0.1695368125508173
149624,6709765240713545914,9073623265808217142,60042.13628956722,20.20964,i,-1.1138834353640354,0.3131686792269027
129205,-5490009188582848923,123217558482685740,60042.20474974343,20.779217,y,-0.9222612343502228,0.03787659335392144
224153,7708758363246329768,-944626695405085710,60042.09760597871,22.62824,z,-1.451042236995574,0.8330403540681385
192889,402314078566230039,942351217587159003,60042.255778551415,21.169157,y,-1.4724127460645198,-0.38910712884490467
174350,5953076117422717253,-8109442562534349266,60042.18066863685,20.504648,y,-1.1515211292265686,0.14981856139516286
230125,-2619622771576600546,1615685741273003419,60042.073315691065,23.195368,i,-1.4267249630309842,0.7717931001068524
150864,16228130346607819,914773660926995540,60042.14668487869,19.685759,z,-1.327586317522592,0.534242799613057
197629,5432085531845838981,-3911770156810715765,60042.09446729545,22.383276,z,-1.6265678883625807,0.9023073421790907
4488,-7672735953630203561,5142527301340631884,60042.18201975697,19.32852,y,-1.8363064432492007,0.3238484271137746
81353,5153402136864425011,-897719989711388168,60042.234634978566,18.536911,y,-1.4268910305789049,-0.07330487268302871
142560,837097649511437384,7559175874179091409,60042.16221456931,20.042505,z,-0.849685767080603,0.15570468973952023
214923,6263446512405938078,-5877554945769286388,60042.19464260849,20.490976,y,-1.2124814637220442,-0.2605011807100163
220657,990626952948648411,-3401650873345947194,60042.242704968434,20.621098,y,-0.9626704442303428,-0.12891633444779044
138301,-1414635257590038932,-1826350067001122289,60042.16495673121,22.894547,z,-1.6668687501893868,0.2418997024831628
53528,692590566435462439,7580314545605770724,60042.234634978566,19.690006,y,-1.975535386083997,-0.0658034852861243
14373,8072721214634243246,8906581216899054100,60042.00009611442,17.826674,i,-0.4676243393471428,1.45651148516135
25423,-3415412191160613225,-8982364792671198595,60042.24730884513,19.210657,y,-1.614360655505348,0.004289444595281608
194989,2467317524576147058,-6935670181606943151,60042.19960341634,21.976639,y,-1.521085163199767,-0.18097796721281106
140115,-5405405852812949567,-5458903896828548370,60042.06587262227,20.446997,i,-1.5646948116870563,0.6083527624534554
57546,-4126102894343606095,1035189919789033532,60042.25175175226,17.787172,y,-1.8139828805759601,-0.1976824538799097
118682,782500706558796571,1853301741570450758,60042.14086558167,21.463783,i,-1.3742475033501744,0.6983941012268134
151012,5148153269681812633,5220138359648438653,60042.184716189,20.284857,y,-1.1858603945575494,0.34461263679749826
122512,-5639355114162001966,4207088865209775205,60042.0125881814,19.86562,z,-0.9342663509072764,1.148548563246265
106584,7815655729296578021,2692861366284861845,60042.010805774,22.016315,i,-0.9400962435458753,1.154547302534683
182571,-6642159271642111644,-7343645653122281994,60041.99920257071,22.53106,i,-0.5508604363193789,1.5068388003458606
159501,4986008350069286257,103165755007907334,60042.25845531678,21.45786,y,-1.7386173777516598,-0.2889179933860035
25394,3132629393918151019,-527255528462773537,60042.207436101286,20.081995,y,-1.6654647337789759,-0.22579234094213052
32917,-23297995293991878,-9172019015176418012,60042.135843422395,20.551468,i,-1.4708878933485148,0.30700480847432776
99362,-652620354710740176,2795155711535068678,60042.006799617695,19.495808,i,-0.9567704481868958,1.1759687238912462
97269,-5775469239853830640,2190844740873583435,60042.267936334836,19.895521,y,-1.2454872844108094,-0.14620861668844595
75104,6879071537191796954,7152696592332108113,60042.05236447047,20.550898,y,-0.9267598867416698,0.5408828403013866
86311,-1281846538433155791,7244972732848910882,60042.129561712194,22.488691,i,-1.3870630971272828,0.44614980533430865
130899,2249167283219455212,5824157250912644789,60042.2769469712,20.847021,y,-1.859360828283117,-0.005822004748538446
211923,7960007548720076040,-4133609681737469075,60042.134052939,22.342594,i,-1.3555779963457837,0.2814826528479906
30319,-8772280982379468860,-7137182493318586407,60042.13673845406,18.886517,i,-1.7522969625168257,0.4655868200950418
99301,-7057235840178187017,3048217126029554866,60042.00902693083,20.176924,i,-1.098975239043959,0.9283673430122471
104341,8309151839390158049,-7709577384651866983,60042.265255122045,20.824326,y,-1.579106329875684,-0.1295373180351001
155009,8356968502641315506,-7535077474698201345,60042.0041225021,20.952124,i,-0.762161733020921,1.5118121691537656
123979,-7818664186935513184,-4802007795666254965,60042.175705328584,21.88322,y,-1.7219985600699765,0.6935704978461429
177617,7478502160823486744,-2905331283685124562,60042.19915293832,22.024511,y,-1.8060369425904395,-0.1906971512030523
183177,7557445399561090528,3705973051832423857,60042.01394352091,21.045336,z,-0.536581225671631,1.2320157973450359
48504,5604745793248920146,-4866773783873120967,60042.08515144954,22.830976,z,-1.6633554195249005,0.6000079280876339
92639,1034479192738237611,4251699091860948510,60042.15572747323,19.83785,z,-1.8066347526175122,0.5401355101707336
236162,-2484415328155881701,7528172476399949345,60041.991490906745,23.245022,r,-1.2751489517298964,1.2205722906827017
84724,2303565190006487501,-5277799040338164508,60042.15437447996,21.571585,z,-1.6963146669568439,0.28759465404184037
183828,-6241831202720014133,2389656630904694483,60042.234634978566,21.427786,y,-1.6100202167376534,-0.08742141662039218
220062,-608087498096766806,1475882409988258344,60042.16944620057,22.747826,z,-1.8263326167930467,0.7768733705867369
194719,-1346580896198878961,4897288150923337743,60042.157081479665,22.32549,z,-1.6574312451827387,0.8335108847795989
139328,-3623666401167998663,-1588004983762449066,60042.00902693083,20.341726,i,-1.101231961366948,0.9745494169015241
243924,7420596417789553073,8703331884910141284,60042.130456808176,22.90658,i,-1.3427718828216144,0.48012258433837296
10213,-1928326704155687883,-707377158318361739,60042.12687407785,22.574518,i,-1.4408726153064517,0.6310010882933794
13273,-6648008561091517326,7652386672644868986,60042.155269796844,20.752611,z,-1.9169034298239924,0.45310193639805785
