,diasourceid,ssobjectid,midpointtai,mag,filter,heliocentricx,heliocentricy
9532,7551175209869584260,5646143816065668757,60042.00902693083,21.672583,i,-1.8767565449955823,0.5292455855086431
9533,-8784378436645791210,5646143816065668757,60042.025117552635,21.920979,z,-1.876834830802457,0.5290690389149652
9534,4524945890899938251,1733635450747679701,60042.09446729545,21.324343,z,-1.8040551185621236,0.1744377613851524
9535,5335628110325356062,1733635450747679701,60042.11069587461,21.236788,y,-1.8040734436192427,0.17427391900311343
9536,6903653999476609045,-5607665885842056383,60042.016627606274,22.064423,z,-1.2829918608737503,1.0755034873950389
9537,6443980591681014081,6206083724398653002,60042.00902693083,22.147875,i,-1.8482604230637203,0.5021580382466794
9538,8640160195443811923,-6283936673717942439,60042.129561712194,22.018084,i,-1.9210170925839227,0.05602193618788164
9539,7537723663145681071,-6283936673717942439,60042.14578855489,22.384624,z,-1.921011322108656,0.05582478895505141
9540,-4330123230369761635,6206083724398653002,60042.025117552635,22.073675,z,-1.8483256570336,0.5019703367186337
9541,-6487344115377381640,-2846917819913032090,60042.0649740635,22.766407,i,-1.7579146309148221,0.07122113544152722
9542,4193536846494570751,-1291496920931932350,60042.10164332212,22.369295,z,-1.7982220967668965,-0.07736024640292764
9543,-8220582789646700932,-1694564280642388064,60042.13090591557,21.217802,i,-1.9818785185905816,0.1574098749006832
9544,1441290628546352479,-6112414556907007059,60042.12642224366,21.366552,i,-1.932319182440349,0.28659410242947264
9545,8851377233152438390,-1694564280642388064,60042.14713431151,21.286915,z,-1.9819019217586071,0.15721665953722214
9546,-6909357802386506903,-3653957152062880518,60042.13090591557,20.84431,i,-1.8304937606785965,0.0937092225541591
9547,935601530783809466,7973941109117867408,60042.16221456931,21.506649,z,-1.9604499356059328,-0.08201643986480225
9548,7236806936819071197,7973941109117867408,60042.17838939641,21.608505,y,-1.9604108233062465,-0.08221118560795135
9549,5465214940126144651,-9195811813951974063,60042.221472262965,20.825891,y,-1.977962144412798,-0.17077486160929287
9550,6615566085706992685,4375092786462811583,60042.03531060317,21.805561,z,-1.6676055646873336,0.16595185269055085
9551,7025949267847158040,-381346999714713124,60042.147593244095,21.83513,z,-1.6948111881931114,0.09791723932434702
9552,-5641786318523490642,6298827404922940042,60042.13450188421,22.884165,i,-1.8333153928320143,-0.05374941850115971
9553,-7390776737995034157,-994671471533022210,60042.19464260849,20.521305,y,-1.863727633020902,-0.4903322543924193
9554,-6727866169952259590,-6120448406818418881,60042.00947148273,22.3534,i,-1.8518247157272762,0.5795196138665594
9555,4338880979424461881,-5761108412598621626,60042.13450188421,22.136873,i,-1.9292788113379895,-0.03137509806803331
9556,7747755893597499939,8496841708092821822,60042.19643296327,21.004839,y,-1.9334009422484195,-0.4604818341643892
9557,-4788800593354495963,1756359560536885736,60042.198255289644,21.655514,y,-1.8627798941706486,-0.3508054919335641
9558,5271408679801037217,480140102307110818,60042.20922222689,20.402468,y,-1.881332157633791,-0.44527587819381825
9559,-6413076919696945086,5474650868644754235,60042.17391455232,21.65188,y,-1.8006898205431026,0.13944215696988227
9560,-6429931078444407987,-4288967542129813699,60042.18382126373,20.92638,y,-1.935107110369768,-0.017091893431765533
9561,-1506739804094622649,-8663898948592318957,60042.19464260849,20.5622,y,-1.8112313676719243,-0.4745705992825045
9562,-6033791971301911905,780258421280241602,60042.13815864183,21.620695,i,-1.960077231757176,-0.07216007771823157
9563,-8785170094557730228,7761524687201016596,60042.13000747307,21.329988,i,-1.9197605208370128,0.018454371469743915
9564,4320166733638565432,-8663898948592318957,60042.255778551415,20.59627,y,-1.811021803040848,-0.47529014757738186
9565,-7272715212573723396,-8663898948592318957,60042.270618214745,20.545477,y,-1.8109708889879077,-0.4754647930114326
9566,-5685132064159175681,-7269697591924712680,60042.18017538333,21.847342,y,-1.9593537480602263,-0.03423809000310276
9567,3357485661391191903,6335012356017138477,60042.298552281725,21.855135,z,-1.5169108156891826,-0.6423617489940819
9568,6195866616673695553,4949282308289367569,60042.20154565868,21.535084,y,-1.873066181509997,-0.3081021116114184
9569,-186403729808261461,4949282308289367569,60042.21652603666,21.581575,y,-1.8729877568164062,-0.30823240639575783
9570,5511884877554050642,5474650868644754235,60042.15773685948,21.466827,z,-1.8006980698509387,0.1396479020887563
9571,7999920736890656737,2680100260236456553,60042.00590611077,22.122078,i,-1.724869064941562,0.8171710317247838
9572,-6437442923624112337,8145502246910282089,60042.17838939641,20.788496,y,-1.902290664893721,-0.08293521054452742
9573,2794089990401299964,-9170506145020360889,60042.09760597871,21.188751,z,-1.9613855046414899,0.28950245372460776
9574,4607937741725787238,-2582405391193282812,60042.24996314224,20.22481,y,-1.8058758519724523,-0.33884487797959056
9575,7664641604771666014,5207977168285194080,60042.21235299012,20.769262,y,-1.9287382405338243,-0.40898902172319446
9576,6401841623183139250,-8133506043928847006,60042.16176850602,21.524857,z,-1.9326729746569384,-0.05230011574483693
9577,5692940060786342795,-7079389433248288572,60042.172132144915,21.45426,z,-1.958079913725423,0.23073277865388417
9578,6040266972472144049,-7079389433248288572,60042.188291836166,21.391518,y,-1.9580709368904308,0.23054434678641567
9579,-4053908892039620010,5474650868644754235,60042.09850413757,21.47006,z,-1.800728072469577,0.14040119825565267
9580,6920466902388752500,-8847157086176734046,60042.28369832064,22.043459,i,-1.3867794864774898,-0.686705605256876
9581,-4042908059869682459,-7271598822684162180,60042.282326746936,22.561,i,-1.3801972757869108,-0.6012340847727625
9582,-2902358569554107457,-737764863120110926,60042.38378760705,21.86981,y,-0.3577547233428111,-1.2805218166641583
9583,-5326011580720284407,9165089401593472833,60042.11922565754,21.254433,y,-1.9344391880413552,0.10409532038871422
9584,-660378962731770224,4674718229651631705,60042.07558312773,22.152836,i,-1.770222634084497,0.32855507885030516
9585,-3315688405935045380,8273370491785505566,60042.155269796844,21.968843,z,-1.9429067301242966,-0.05123410509248515
9586,-7218066660617648779,-4075095721855475663,60042.241356276485,20.698484,y,-1.928982152477574,-0.40963108280095134
9587,-7489085022444945777,-4075095721855475663,60042.2508567269,20.768372,y,-1.9289492214876247,-0.40974212338367527
9588,3273049671554647746,-6700523604985881161,60042.193301993786,21.93547,y,-1.943566693331218,-0.36335337907625237
9589,-1622996331452205598,1756359560536885736,60042.24180349734,21.91692,y,-1.86266751369041,-0.35130760842347897
9590,-5759415753532675122,5857658975818013814,60042.189722764226,21.747286,y,-1.6738324664529878,-0.2658763637209834
9591,-1213015710287265424,7953793667422591827,60042.16132189579,22.077673,z,-1.9113559286431274,-0.044565835824796216
9592,100952549300424476,-4192686582360110799,60042.13539330409,21.818468,i,-1.8606164360700197,-0.1565978987854139
9593,-672509289299255668,-6414281083684892943,60042.16495673121,22.308712,z,-1.949085011802206,-0.14853569742964556
9594,4153160356307395856,-4075095721855475663,60042.197327458314,20.753721,y,-1.9291346812841488,-0.4091164586833149
9595,5111272255387278961,-5054476490489072451,60041.98367946742,22.40811,r,-1.6658761742170398,0.6835908487803862
9596,-4304913145721250097,-5714263890325661648,60042.27239877877,20.484568,y,-1.8003714138467741,-0.4831178675822608
9597,-3731548666876690417,5207977168285194080,60042.197327458314,20.82442,y,-1.928777557606366,-0.40880913952894765
9598,-1300758712960577070,398297948749802931,60042.13673845406,22.198694,i,-1.960892490237677,-0.008178358852049266
9599,-7276668036692720356,398297948749802931,60042.15296652403,22.334633,z,-1.9609254493362414,-0.008365407134550551
9600,-4767408056939689894,-7269697591924712680,60042.16400136526,21.86475,z,-1.959356999057802,-0.03403980499334667
9601,-2912278669276955290,892028526672054039,60042.19687987953,22.011215,y,-1.8905518579010574,-0.4141057423371003
9602,-8811438752280561478,-7079389433248288572,60042.06452532619,21.38349,i,-1.9581391935381782,0.23198748182447826
9603,2118219235658648217,-2493761315164956826,60042.10209039483,20.948032,z,-1.9895643221915162,0.014668231978720069
9604,-6023886044298071851,-8847157086176734046,60042.300371502424,22.109468,z,-1.3866262468094859,-0.686843907290524
9605,-3267493934335027753,8916043841991215305,60042.02377794082,21.894264,z,-1.7947497552487786,0.561922934664521
9606,-6700138176206818643,-6468964518740765147,60042.02689928769,21.379055,z,-1.7972602149329522,0.7541912100216269
9607,1900683581992360478,8273370491785505566,60042.13905530764,22.199213,i,-1.9429233576932807,-0.05103961481031794
9608,-1664532763823005940,-5544500191706514449,60042.14399738112,21.090347,z,-1.9395294971327837,0.195604695164596
9609,3248929311364373731,103704121670494769,60042.217007533196,21.08705,y,-1.8407999066314567,-0.3471293097306034
9610,-5064178135117235875,4653550349184912133,60042.204300646736,20.704535,y,-1.8797682850542097,-0.22679414057661337
9611,2461374787516075673,-3271994130253826167,60042.072856408384,21.592968,i,-1.8695895334296848,0.34007990040791286
9612,3772302099950104884,4104820316954306820,60042.089333607175,22.68009,z,-1.910793018239452,0.3190264377460624
9613,7570014732266552900,7194262938528750659,60041.99920257071,22.578667,i,-1.4814220098856041,1.1476197915054946
9614,-271457459641820557,-415955746523946063,60042.100298238554,22.70032,z,-1.9808023713924434,0.061758304034126146
9615,9079168041566915212,2750815932863494688,60042.15162242801,22.531918,z,-1.922689411292852,-0.125748081057725
9616,-3267821934189488014,7908508266268207144,60042.159529037664,22.681904,z,-1.9844913538009599,0.09668477125420338
9617,-2236889276084330242,-8220838720416160303,60042.128666410346,22.812292,i,-1.8775690344166927,0.16537601520164058
9618,6867392170842109933,-2582405391193282812,60042.234634978566,20.225357,y,-1.805938955664832,-0.3386703683216147
9619,-5525995603319955014,-4101275573628096480,60042.15207256504,21.254467,z,-1.9206706763099486,-0.09045612837328582
9620,8800646444884162339,-4106563099084382423,60042.01305180142,22.238247,z,-1.5348318571979143,0.8111761534514615
9621,-97014390646989025,78621665629397307,60041.9864421478,23.080832,r,-1.5782995057839855,0.8809629949307123
9622,-1211228782129050259,-2489004625321852614,60042.160871747044,22.552864,z,-1.8955473293193628,-0.02460155350685928
9623,-7867547591911718544,-5739588468480876860,60042.240909151966,21.032513,y,-1.9063853077509385,-0.4505612463204301
9624,-7056046272365454063,-7992733589123031186,60042.153477195556,20.735212,z,-1.9079978514439266,-0.2138095079745432
9625,2662751430517567825,-855693844000518758,60042.10300872626,22.726812,z,-1.7984700787243015,0.09141181187392365
9626,3964764283440431356,-1608099676271944316,60042.24360156452,20.600533,y,-1.8840097792606507,-0.4153084979079666
9627,-6876152528211636878,-2252310084501020045,60042.135843422395,20.19741,i,-1.7039385916248568,-0.10656875895053199
9628,-1677039921765186674,7140292132055304937,60042.255778551415,21.64484,y,-1.8216287297659883,-0.49270265671556557
9629,266982410271078936,-719741174745723187,60042.19151555616,21.279627,y,-1.9379861206486164,-0.28996764133932107
9630,2375876515056798438,-2252310084501020045,60042.15207256504,20.270466,z,-1.7038918036730886,-0.10678806056164569
9631,-9151052540675185371,-7233640020893548113,60042.03287049469,23.008675,z,-1.785602912946873,0.21207345380998308
9632,-8137384677360833017,8273370491785505566,60042.16400136526,22.32855,z,-1.9428977676805839,-0.0513388386637619
9633,-389796454778687915,8119127951709850416,60042.207436101286,20.219898,y,-1.9280992191393176,-0.3925025705295695
9634,-336684331822516027,7704387311698124778,60042.19240942175,21.807108,y,-1.8896329358799233,-0.38193351829402566
9635,-3859521724980359237,3467105757462203057,60042.12911174717,22.900244,i,-1.9617307137666895,0.147976439677334
9636,-4089099937490124640,6438788416419594498,60042.13996259973,21.731352,i,-1.9848057801924408,0.08071736754825437
9637,8078602554527914406,-6558804558539976142,60042.010805774,22.633448,i,-1.7284072771439096,0.7613185114254101
9638,-2989161706607575649,-5461981163665731916,60042.00188650329,22.380362,i,-1.3660224924265338,1.1979363922303874
9639,3632782875502929151,-7829670242776361370,60042.222365933165,21.874716,y,-1.9112038547682564,-0.27239054512063465
9640,-8219394934893613637,-5739588468480876860,60042.25443755652,21.18144,y,-1.9063445988580028,-0.45071106038126796
9641,-8716354144348751185,-2582405391193282812,60042.213720257874,20.231804,y,-1.8060250266047269,-0.3384322502619722
9642,4605795372343451196,-2582405391193282812,60042.21967011852,20.16733,y,-1.8060005447057599,-0.338499991253978
9643,-6728274607822019236,3983828876619117385,60042.33168418626,21.377342,y,-1.167851181597975,-0.8509590717984401
9644,697707500144653131,-7013318843090798674,60042.14668487869,21.366179,z,-1.8960832462726718,0.06133896335930589
9645,349830733151354116,2469305508071435390,60042.03014323163,20.388449,z,-1.7858779652305692,0.27767475109996015
9646,-467815578009168848,9165089401593472833,60042.11561997354,21.473667,y,-1.9344467399700955,0.10413794743324511
9647,6431704026522906917,735476944252576934,60042.02377794082,21.935524,z,-1.8067736334700175,0.5595053425597223
9648,-8207068168823783678,-381346999714713124,60042.131364365465,21.875443,i,-1.6947823801986535,0.09813711269422105
9649,3820192886937643631,480140102307110818,60042.19419550132,20.323725,y,-1.8813987111250736,-0.44510922853553186
9650,-4233278270355484248,-7006340568178492153,60042.100298238554,22.052359,z,-1.971576144985876,0.0882894460245394
9651,4436860135338520609,8145502246910282089,60042.16221456931,20.723642,z,-1.902289759839557,-0.08273407334772548
9652,4083881469861402939,4455497704048795477,60042.01305180142,22.354584,z,-1.6060954755071908,0.9530467130723383
9653,807331015253722239,-7013318843090798674,60042.130456808176,21.171228,i,-1.8960968276527295,0.06152497342925165
9654,2674842537394534804,-2493761315164956826,60042.16855189674,20.908873,z,-1.989420283894774,0.013885686363584851
9655,2272655339140549611,-7829670242776361370,60042.23732389833,21.735926,y,-1.9111687263670638,-0.2725731820680983
9656,6341889983111627074,-9195811813951974063,60042.181121816066,20.852411,y,-1.9780222929767526,-0.17026396071907524
9657,-7058282131898106467,7345340277337596750,60042.254884249545,20.605852,y,-1.8799010312535842,-0.47465891493671436
9658,6726934674864866467,-7006340568178492153,60042.116517259135,22.10703,y,-1.9715352123074887,0.08814312066263799
9659,-5318726437692989493,-4106563099084382423,60041.99696853905,22.38733,i,-1.5347113799861545,0.8113170848913395
9660,7867086356713427009,-3648602130388170078,60042.13726126032,22.313473,i,-1.864644438807892,-0.21690156575018235
9661,366374497078000598,7857099247802409491,60042.14355244488,20.850279,z,-1.9708094226431498,0.2994849218073438
9662,5756992201702195253,8966078322258789048,60042.36786061668,21.829777,y,-0.3323836224440439,-1.3137654386871847
9663,-5888460861498215903,3229210863158025114,60042.25800833573,21.487667,y,-1.9007686366062972,-0.4649269025112996
